,Href,Title,Latitude,Longitude
0,/wiki/%E6%95%A2%E5%9C%8B%E7%A5%9E%E7%A4%BE,敢國神社,北緯34度47分14.52秒,東経136度09分50.18秒
1,/wiki/%E8%B5%A4%E5%9F%8E%E7%A5%9E%E7%A4%BE_(%E5%89%8D%E6%A9%8B%E5%B8%82%E5%AF%8C%E5%A3%AB%E8%A6%8B%E7%94%BA%E8%B5%A4%E5%9F%8E%E5%B1%B1),赤城神社 (前橋市富士見町赤城山),北緯36度33分10.10秒,東経139度11分0.56秒
2,/wiki/%E4%BA%8C%E5%AE%AE%E8%B5%A4%E5%9F%8E%E7%A5%9E%E7%A4%BE,二宮赤城神社,北緯36度22分02.08秒,東経139度10分03.56秒
3,/wiki/%E8%B5%A4%E5%9F%8E%E7%A5%9E%E7%A4%BE_(%E5%89%8D%E6%A9%8B%E5%B8%82%E4%B8%89%E5%A4%9C%E6%B2%A2%E7%94%BA),赤城神社 (前橋市三夜沢町),北緯36度29分02.6秒,東経139度10分39.7秒
4,/wiki/%E8%B5%A4%E5%9F%8E%E7%A5%9E%E7%A4%BE_(%E6%96%B0%E5%AE%BF%E5%8C%BA),赤城神社 (新宿区),北緯35度42分17.9秒,東経139度44分10.8秒
5,/wiki/%E8%B5%A4%E9%96%93%E7%A5%9E%E5%AE%AE,赤間神宮,北緯33度57分35.0秒,東経130度56分54.5秒
6,/wiki/%E7%A7%8B%E7%94%B0%E8%AB%8F%E8%A8%AA%E5%AE%AE,秋田諏訪宮,北緯39度25分25秒,東経140度32分34秒
7,/wiki/%E7%A7%8B%E8%91%89%E5%B1%B1%E6%9C%AC%E5%AE%AE%E7%A7%8B%E8%91%89%E7%A5%9E%E7%A4%BE,秋葉山本宮秋葉神社,北緯34度58分52.4秒,東経137度51分56.8秒
8,/wiki/%E9%96%8B%E5%8F%A3%E7%A5%9E%E7%A4%BE,開口神社,北緯34度34分36.7秒,東経135度28分28.5秒
9,/wiki/%E6%97%A6%E6%A4%8B%E7%A5%9E%E7%A4%BE_(%E5%AE%87%E6%B2%BB%E5%B8%82),旦椋神社 (宇治市),北緯34度52分21.1秒,東経135度46分29.7秒
10,/wiki/%E5%AE%89%E7%A9%8D%E5%9B%BD%E9%80%A0%E7%A5%9E%E7%A4%BE,安積国造神社,北緯37度23分55.61秒,東経140度22分55.19秒
11,/wiki/%E6%B5%85%E8%8D%89%E7%A5%9E%E7%A4%BE,浅草神社,北緯35度42分54.5秒,東経139度47分50.8秒
12,/wiki/%E5%AE%89%E9%87%8C%E5%85%AB%E5%B9%A1%E5%AE%AE,安里八幡宮,北緯26度13分15.9秒,東経127度41分41.8秒
13,/wiki/%E6%B5%85%E9%96%93%E7%A5%9E%E7%A4%BE,浅間神社,北緯35度10分1.66秒,東経138度40分32.93秒
14,/wiki/%E5%AF%8C%E5%A3%AB%E5%AE%AE%E5%B8%82,富士宮市,北緯35度13分20秒,東経138度37分18秒
15,/wiki/%E5%AF%8C%E5%A3%AB%E5%B1%B1%E6%9C%AC%E5%AE%AE%E6%B5%85%E9%96%93%E5%A4%A7%E7%A4%BE,富士山本宮浅間大社,北緯35度13分38.66秒,東経138度36分36.01秒
16,/wiki/%E6%B2%B3%E5%8F%A3%E6%B5%85%E9%96%93%E7%A5%9E%E7%A4%BE,河口浅間神社,北緯35度31分51.84秒,東経138度46分29.87秒
17,/wiki/%E6%B5%85%E9%96%93%E7%A5%9E%E7%A4%BE_(%E7%AC%9B%E5%90%B9%E5%B8%82),浅間神社 (笛吹市),北緯35度38分51.93秒,東経138度41分50.79秒
